Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Rainfall(mm),Wind Speed(mph),Cyclone
GALE,lka009,lka009001,lka009001015,Rawanakanda(GN),Ratnapura,2000-01-03,2000,1,195.0,6.6,1
STRONG WIND,lka005,lka005002,lka005002003,Dehiattakandiya,Ampara,2000-01-05,2000,1,271.1,9.6,1
GALE,lka003,lka003001,lka003001027,Wanduramba(GN),Galle,2000-01-06,2000,1,76.0,7.4,1
GALE,lka003,lka003001,lka003001027,Wanduramba(GN),Galle,2000-01-07,2000,1,76.0,7.4,0
GALE,lka009,lka009001,lka009001015,Rawanakanda(GN),Ratnapura,2000-01-09,2000,1,195.0,6.6,0
STRONG WIND,lka002,lka002003,lka002003003,Pundaluoya(GN),Nuwara Eliya,2000-01-16,2000,1,130.0,7.4,0
STRONG WIND,lka002,lka002003,lka002003003,Kothmale,Nuwara Eliya,2000-01-18,2000,1,130.0,7.4,1
STRONG WIND,lka002,lka002003,lka002003003,Pundaluoya(GN),Nuwara Eliya,2000-01-18,2000,1,130.0,7.4,1
STRONG WIND,lka005,lka005002,lka005002003,Dehiattakandiya,Ampara,2000-01-28,2000,1,271.1,9.6,0
STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-02-01,2000,2,241.0,5.0,0
STRONG WIND,lka009,lka009001,lka009001018,Rassagala(GN),Ratnapura,2000-02-07,2000,2,241.0,5.0,1
STRONG WIND,lka009,lka009001,lka009001009,Yatipawwa(GN),Ratnapura,2000-02-14,2000,2,241.0,5.0,0
STRONG WIND,lka009,lka009001,lka009001018,Rassagala(GN),Ratnapura,2000-02-16,2000,2,241.0,5.0,0
GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-02-23,2000,2,241.0,5.0,1
GALE,lka009,lka009001,lka009001015,Mamalgaha(GN),Ratnapura,2000-02-23,2000,2,241.0,5.0,1
STRONG WIND,lka009,lka009001,lka009001009,Yatipawwa(GN),Ratnapura,2000-02-25,2000,2,241.0,5.0,1
STRONG WIND,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-02-25,2000,2,241.0,5.0,1
GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-03-01,2000,3,273.9,4.1,1
GALE,lka009,lka009001,lka009001015,Karadiyamulla(GN),Ratnapura,2000-03-03,2000,3,273.9,4.1,1
GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-03-03,2000,3,273.9,4.1,1
GALE,lka009,lka009001,lka009001015,Karagasthalawa(GN),Ratnapura,2000-03-07,2000,3,273.9,4.1,1
STRONG WIND,lka009,lka009001,lka009001018,Bowatta(GN),Ratnapura,2000-03-07,2000,3,273.9,4.1,1
GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-03-07,2000,3,273.9,4.1,1
STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-03-11,2000,3,103.0,5.7,0
GALE,lka009,lka009001,lka009001015,Karadiyamulla(GN),Ratnapura,2000-03-12,2000,3,273.9,4.1,0
